,mer,zon
454,71.513916,140.19821
455,71.515686,140.22191
456,71.517426,140.24521
457,71.519135,140.26813
458,71.52082,140.29066
459,71.52247,140.31282
460,71.5241,140.33463
461,71.525696,140.35606
462,71.527275,140.37715
463,71.52882,140.39789
464,71.53034,140.41827
465,71.53184,140.43832
466,71.53331,140.45805
467,71.53476,140.47745
468,71.53618,140.49654
469,71.53758,140.51529
470,71.538956,140.53375
471,71.54031,140.5519
472,71.54164,140.56975
473,71.54295,140.5873
474,71.54424,140.60455
475,71.54551,140.62154
476,71.54675,140.63823
477,71.54798,140.65465
478,71.54919,140.6708
479,71.55037,140.68668
480,71.55154,140.7023
481,71.55268,140.71767
482,71.55381,140.73277
483,71.55492,140.74763
484,71.55601,140.76224
485,71.55708,140.77661
486,71.558136,140.79074
487,71.55917,140.80464
488,71.560196,140.81831
489,71.561195,140.83176
490,71.56218,140.84499
491,71.563156,140.85799
492,71.56411,140.87077
493,71.56505,140.88335
494,71.56597,140.89572
495,71.56688,140.90788
496,71.56777,140.91985
497,71.56865,140.93161
498,71.56951,140.94318
499,71.57036,140.95456
