,zon,zon_ef,mer,mer_perp,mer_parl,N,nui,R,F,E,ratio,ge,K
2013-12-24 20:00:00,-20.38781252530154,-49.10327644513133,89.38020030267,-3.6639952623991174,88.61369156630599,9.8817395748321e+17,1.9992963195675002,0.001451804943159815,77.71004382404166,48.63632125661676,0.6150556351536687,8.948408868215399,3.90398992587485e-05
2013-12-24 20:10:00,-4.513860863577909,-35.34861906993747,93.1104525466358,-3.484749470999013,86.96278157614175,1.0042250502480627e+18,1.95684539224768,0.0014136296840490407,77.38141782928204,43.483641646651094,0.6402298411534755,8.948408868215399,3.8618399911400384e-05
2013-12-24 20:20:00,11.734330479379881,-21.33608887939912,97.12246333986101,-3.315372415826592,85.44549483941077,1.0207286987558285e+18,1.9190762329722144,0.0013789855531825556,77.17875353976018,38.10060081534984,0.6694932841314881,8.948408868215399,3.8052276140360775e-05
2013-12-24 20:30:00,28.19782761985042,-7.1898924019145145,101.33942825820613,-3.1484556607531378,84.04182568963546,1.0361066270172759e+18,1.8857145078990034,0.0013476924386041137,76.97112382291678,32.48690623764147,0.7032021659839126,8.948408868215399,3.7398931769155874e-05
2013-12-24 20:40:00,44.70172794970393,6.955212403630989,105.6706572024327,-2.9754808173228406,82.72391216322481,1.048957187398191e+18,1.8565543357056955,0.0013197747754806954,76.65265764238002,26.704206489324264,0.741631030375535,8.948408868215399,3.672008625854224e-05
2013-12-24 20:50:00,61.01843098648902,20.920204815036136,110.0079510135293,-2.786841265906385,81.46361225530964,1.0584584386811372e+18,1.832119536224662,0.00129633097491892,76.19627505359958,20.946350080096718,0.7843752930161348,8.948408868215399,3.605956703251434e-05
2013-12-24 21:00:00,82.26770991866968,40.59322876709092,111.05680984114704,-2.6258029965756053,75.51402640300667,1.0645975261800689e+18,1.8135413263151574,0.0012795310176369552,75.66720232688124,15.580149623765262,0.829253679249868,8.948408868215399,3.543846021578003e-05
2013-12-24 21:10:00,96.64090802749496,52.96101975826278,114.66735208797928,-2.4021062110483298,74.18915139427082,1.0681337098428549e+18,1.8022434606381483,0.0012720586671029852,75.20676304076542,11.052939798083221,0.8718643881867708,8.948408868215399,3.485373590674056e-05
2013-12-24 21:20:00,105.07219633105635,60.23935948160927,116.62670269723381,-2.2817133648218304,73.16535588979377,1.073349719358244e+18,1.8540913569932798,0.001364551490457661,77.33943451421592,11.242191217952016,0.8730866460732671,8.948408868215399,3.4398199958848814e-05
2013-12-24 21:30:00,115.42209594262746,69.10085795546107,119.30402795414585,-2.3263598991465386,72.24624953156714,1.0751468690862495e+18,1.872653777388175,0.0013994870492871686,78.06837647709574,8.273565102879687,0.9041767540608734,8.948408868215399,3.358227998394395e-05
2013-12-24 21:40:00,126.39690945726322,78.69302423711193,121.58617319402998,-2.1890606827529364,70.78046881873757,1.0741681388176257e+18,1.8778476808708746,0.0014141924207280783,78.05313827522835,6.107681532553023,0.9274284453680154,8.948408868215399,3.307916737054131e-05
2013-12-24 21:50:00,136.67770948402296,87.73868651267155,123.54109015941245,-2.089204429585732,69.24294526228164,1.0723640448969606e+18,1.8825258145074404,0.0014267822986990366,78.03981575866217,4.815900121080524,0.9418760664856201,8.948408868215399,3.261156597472712e-05
2013-12-24 22:00:00,146.19594030015026,96.17537482421669,125.16126961436183,-2.0454003478149474,67.64974996752319,1.0731152021205358e+18,1.8859104646454834,0.001436016886777956,78.24095714379831,3.8763370591138675,0.952795119508743,8.948408868215399,3.2073950954133285e-05
2013-12-24 22:10:00,155.05054383056006,104.09601377884164,126.45279550790127,-2.048388638090798,65.97734737267031,1.0709685488102147e+18,1.885156670539574,0.0014380353511240936,78.13117964726571,2.871560420736943,0.9645498359891748,8.948408868215399,3.162437980522985e-05
2013-12-24 22:20:00,163.1710332354465,111.43757976116612,127.40380458574396,-2.0974191286331276,64.23615533137374,1.0666257069164352e+18,1.8802584777313047,0.0014326537022402433,77.74330276591229,2.1387403054625063,0.9732262693437681,8.948408868215399,3.1226639429472643e-05
2013-12-24 22:30:00,170.4865192427827,118.14059365026515,127.9906770601377,-2.192850261855715,62.426208457548604,1.060630755511237e+18,1.870748704816723,0.0014193792753856586,77.07769795570562,1.8676081282689312,0.9763430123852792,8.948408868215399,3.086552596203366e-05
2013-12-24 22:40:00,176.91499859940618,124.13766237150023,128.18231556990713,-2.3298690821989556,60.54389217721588,1.0534082140648198e+18,1.856677934316222,0.0013984752797446141,76.14874383884377,1.5783136477712247,0.9796941541490488,8.948408868215399,3.0541193297184416e-05
2013-12-24 22:50:00,182.36502294134613,129.3483277412251,127.95764382172426,-2.507288583276254,58.59676873410101,1.0451831583391896e+18,1.8384699899909285,0.001370718022262252,74.97436972130208,1.283607711731221,0.983167561546483,8.948408868215399,3.0255726004567317e-05
2013-12-24 23:00:00,186.78461803171223,133.72943085428193,127.29755920542047,-2.718462190941337,56.582465503348146,1.0358616670018163e+18,1.8162210263737784,0.0013366219452698308,73.54398967864178,1.0027980349935257,0.986548071811683,8.948408868215399,3.0022324276430793e-05
2013-12-24 23:10:00,190.1636750337292,137.27887188643976,126.1819323944504,-2.949541744949328,54.48580954242642,1.0250994615298286e+18,1.7896824459644964,0.0012964095000760631,71.82619718554318,0.9315292125724686,0.9871968344987124,8.948408868215399,2.985782940210829e-05
2013-12-24 23:20:00,192.4972651800975,139.99536401147236,124.6021621993024,-3.1891574711352018,52.300357699309956,1.0124415231598377e+18,1.7586276976296058,0.0012503677057198205,69.79011541713788,0.8861868803045366,0.9874613293070285,8.948408868215399,2.9781821465511538e-05
